City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
222,Yangi Marg`ilon,100,UZ,1579549999,74,40.43,71.72,30.2,4.7
223,Alta Floresta,40,BR,1579549999,78,-9.88,-56.09,82.4,3.36
224,Horn,0,DE,1579550000,100,51.87,8.95,37.4,9.17
225,Westport,1,US,1579550000,28,41.14,-73.36,32,14.99
226,Zhezkazgan,1,KZ,1579550000,94,47.8,67.71,6.15,8.68
227,Upernavik,94,GL,1579549783,59,72.79,-56.15,-3.05,7.81
228,Galle,66,LK,1579550000,76,6.04,80.22,80.91,10.27
229,Turukhansk,100,RU,1579550000,98,65.82,87.98,-33,3.42
230,Baicheng,38,CN,1579550000,84,45.62,122.82,2.16,8.3
231,Dondaicha,0,IN,1579549829,54,21.33,74.57,66.11,4.59
232,Petropavlovsk-Kamchatsky,90,RU,1579550000,71,53.05,158.65,3.2,6.71
233,Alice Springs,64,AU,1579550000,28,-23.7,133.88,73.4,4.7
234,Vaitape,53,PF,1579550001,77,-16.52,-151.75,81.21,14.67
235,Jumla,89,NP,1579549666,82,29.27,82.18,24.51,2.84
236,Namatanai,92,PG,1579549897,75,-3.67,152.43,83.03,13.13
237,Ucluelet,75,CA,1579549709,93,48.93,-125.55,50,10.29
238,Kristinestad,100,FI,1579550001,72,62.27,21.38,46.06,19.66
239,Samarai,99,PG,1579549577,79,-10.62,150.67,79.09,3.62
240,Fethiye,0,TR,1579550001,45,36.62,29.12,46.4,6.93
241,Cockburn Town,40,TC,1579549534,69,21.46,-71.14,78.8,16.11
242,Portland,90,US,1579549671,65,45.52,-122.68,48,10.29
243,Waipawa,90,NZ,1579550001,100,-41.41,175.52,64,2.24
244,Aksu,0,CN,1579550001,86,41.12,80.26,21.07,6.02
245,Fort Nelson,90,CA,1579549733,76,58.81,-122.7,-9.4,2.24
246,Avarua,100,CK,1579550001,88,-21.21,-159.78,80.6,11.41
247,Cowra,8,AU,1579550001,69,-33.83,148.68,64.78,8.52
248,Laas,0,IT,1579550002,71,46.62,10.7,32,2.24
249,Xam Nua,29,LA,1579549772,98,20.42,104.04,53.46,2.46
250,Lincoln,1,US,1579550002,77,40.8,-96.67,12.99,8.05
251,Tabuleiro do Norte,77,BR,1579550002,58,-5.25,-38.13,84.63,8.68
252,Nha Trang,20,VN,1579549817,83,12.25,109.18,75.2,4.7
253,Vila Velha,90,BR,1579549692,78,-20.33,-40.29,79,13.87
254,Katsuura,5,JP,1579549690,75,35.13,140.3,42.01,4.7
